CartID,CID,PID,cart_status
157,46,1,O
194,30,1,D
500,37,1,O
585,33,1,O
640,73,1,O
944,11,1,D
296,71,2,C
346,26,2,D
390,22,2,C
405,16,2,D
663,86,2,D
873,34,2,O
9,73,3,C
278,58,3,O
360,82,3,O
568,89,3,O
574,88,3,D
686,97,3,C
759,72,3,C
856,24,3,O
862,84,3,O
884,20,3,O
112,45,4,D
153,83,4,D
299,72,4,O
610,41,4,D
692,49,4,D
780,62,4,C
827,25,4,O
865,59,4,C
932,32,4,C
991,45,4,C
74,34,5,O
150,23,5,O
359,41,5,C
519,79,5,C
709,91,5,C
999,75,5,O
51,7,6,C
381,46,6,C
382,32,6,D
449,5,6,C
503,89,6,D
510,77,6,D
512,58,6,C
576,100,6,D
624,85,6,D
650,69,6,O
702,45,6,D
771,51,6,D
816,95,6,D
857,82,6,D
961,67,6,D
20,59,7,D
245,30,7,O
317,96,7,O
367,9,7,C
668,46,7,D
684,77,7,C
751,15,7,C
796,56,7,D
832,63,7,O
843,66,7,C
954,70,7,C
2,33,8,C
128,25,8,D
638,54,8,D
942,44,8,O
29,16,9,D
154,90,9,D
185,99,9,C
328,66,9,O
388,98,9,D
498,22,9,D
648,79,9,D
662,26,9,O
859,13,9,O
890,5,9,D
899,57,9,D
910,74,9,D
11,6,10,C
52,13,10,D
133,5,10,C
369,22,10,D
577,92,10,C
767,48,10,D
833,47,10,O
70,83,11,O
147,24,11,D
262,55,11,C
370,6,11,C
398,11,11,C
530,91,11,D
532,51,11,C
588,8,11,D
760,92,11,C
987,5,11,C
23,18,12,O
73,71,12,C
146,80,12,O
176,67,12,D
263,6,12,O
356,55,12,C
436,66,12,C
523,85,12,C
604,22,12,D
814,18,12,C
851,35,12,O
880,65,12,C
912,45,12,O
988,47,12,O
121,45,13,O
122,4,13,D
165,45,13,O
446,94,13,D
490,50,13,C
685,12,13,O
852,42,13,O
949,71,13,C
966,71,13,C
63,45,14,O
106,68,14,O
171,41,14,C
211,85,14,C
276,8,14,D
280,21,14,O
305,74,14,D
