orderID,CartID,QTY,order_status,order_date,transaction_price
1,4,7,finished,2019-12-31,700
2,10,2,ordered,2019-09-28,200
3,11,7,ordered,2019-11-23,700
4,13,4,finished,2020-11-08,400
5,16,9,in shipping,2019-07-13,900
6,23,1,ordered,2019-08-18,100
7,28,9,in shipping,2019-10-20,900
8,39,5,ordered,2020-11-16,500
9,45,4,in shipping,2019-01-24,400
10,50,6,finished,2020-06-06,600
11,51,5,in shipping,2019-04-11,500
12,56,9,in shipping,2019-01-29,900
13,61,5,ordered,2019-11-30,500
14,62,7,finished,2019-08-02,700
15,63,8,in shipping,2019-12-04,800
16,65,8,ordered,2019-09-05,800
17,68,7,in shipping,2019-10-09,700
18,69,10,ordered,2020-05-04,1000
19,72,2,ordered,2019-01-09,200
20,74,9,in shipping,2019-04-27,900
21,76,5,in shipping,2019-12-28,500
22,77,1,in shipping,2019-08-28,100
23,81,8,ordered,2020-01-05,800
24,82,2,finished,2020-08-26,200
25,83,8,in shipping,2020-01-14,800
26,87,1,ordered,2020-04-14,100
27,90,3,ordered,2019-05-23,300
28,95,4,finished,2019-09-22,400
29,96,4,ordered,2019-09-14,400
30,97,5,finished,2019-07-10,500
31,98,3,in shipping,2019-08-23,300
32,99,7,in shipping,2020-07-19,700
33,101,7,ordered,2019-07-16,700
34,104,4,in shipping,2020-09-16,400
35,106,5,ordered,2019-03-28,500
36,108,9,in shipping,2019-08-05,900
37,112,2,finished,2020-04-16,200
38,113,10,in shipping,2019-12-25,1000
39,114,5,in shipping,2020-02-10,500
40,115,2,finished,2020-12-12,200
41,123,9,finished,2019-03-28,900
42,135,10,ordered,2020-09-23,1000
43,137,5,finished,2020-04-13,500
44,138,2,ordered,2019-07-21,200
45,140,9,in shipping,2020-09-10,900
46,145,8,finished,2020-08-17,800
47,150,6,ordered,2020-04-14,600
48,156,6,finished,2019-11-17,600
49,161,3,ordered,2020-09-20,300
50,163,3,finished,2019-07-07,300
51,169,10,in shipping,2020-01-15,1000
52,171,7,ordered,2019-11-17,700
53,178,9,in shipping,2019-07-16,900
54,180,6,finished,2019-06-13,600
55,184,8,finished,2019-10-17,800
56,187,3,ordered,2019-01-27,300
57,188,6,ordered,2020-07-26,600
58,189,8,in shipping,2020-06-29,800
59,191,2,ordered,2019-10-02,200
60,192,6,ordered,2020-12-03,600
61,193,4,in shipping,2020-09-06,400
62,194,3,ordered,2020-07-26,300
63,195,10,finished,2019-05-20,1000
64,200,5,finished,2020-12-15,500
65,201,3,in shipping,2019-08-20,300
66,202,4,in shipping,2020-06-19,400
67,206,5,finished,2020-06-02,500
68,208,3,in shipping,2019-07-28,300
69,209,2,finished,2020-01-20,200
70,210,4,ordered,2019-04-22,400
71,214,3,ordered,2019-12-02,300
72,215,4,finished,2020-11-27,400
73,220,5,ordered,2019-06-29,500
74,223,1,finished,2020-07-04,100
75,225,9,finished,2020-02-13,900
76,226,6,finished,2019-03-15,600
77,229,7,ordered,2019-05-31,700
78,230,9,ordered,2020-02-29,900
79,231,6,ordered,2019-08-15,600
80,233,6,in shipping,2019-06-22,600
81,234,4,in shipping,2020-05-07,400
82,237,8,in shipping,2020-04-18,800
83,242,2,ordered,2020-07-31,200
84,247,6,in shipping,2020-12-21,600
85,249,8,in shipping,2019-05-21,800
86,252,9,in shipping,2020-01-16,900
87,256,3,in shipping,2019-04-08,300
88,257,7,finished,2020-06-22,700
89,260,10,finished,2019-05-03,1000
90,263,8,in shipping,2019-07-11,800
91,268,7,ordered,2019-09-24,700
92,269,2,in shipping,2019-10-28,200
93,270,3,in shipping,2020-10-19,300
94,283,6,in shipping,2019-02-01,600
95,285,9,in shipping,2020-11-21,900
96,286,7,ordered,2020-02-18,700
97,287,2,in shipping,2019-07-04,200
98,290,5,in shipping,2020-08-12,500
99,291,3,in shipping,2020-12-21,300
100,294,6,finished,2019-04-21,600
101,297,7,ordered,2020-05-17,700
102,301,10,in shipping,2019-07-19,1000
103,302,4,in shipping,2020-05-01,400
104,304,9,ordered,2019-08-19,900
105,306,3,ordered,2019-12-29,300
106,310,4,in shipping,2019-10-04,400
107,311,10,ordered,2019-06-26,1000
108,314,9,ordered,2019-12-15,900
109,316,4,finished,2019-11-05,400
110,319,1,in shipping,2020-01-04,100
111,322,4,finished,2020-04-07,400
112,325,5,finished,2020-11-30,500
113,326,10,in shipping,2020-05-13,1000
114,327,6,in shipping,2020-04-29,600
115,332,8,ordered,2019-04-24,800
116,336,1,finished,2020-04-17,100
117,348,7,ordered,2020-09-19,700
118,353,6,ordered,2019-02-23,600
119,354,4,finished,2020-06-30,400
120,356,6,in shipping,2020-08-01,600
121,368,2,finished,2019-05-10,200
122,369,4,in shipping,2019-02-11,400
123,370,9,finished,2019-12-08,900
124,371,1,ordered,2020-11-10,100
125,375,4,in shipping,2020-08-13,400
126,376,2,in shipping,2020-11-02,200
127,378,3,ordered,2019-12-04,300
128,379,4,finished,2019-08-04,400
129,396,6,in shipping,2019-08-26,600
130,397,10,ordered,2020-08-15,1000
131,400,4,finished,2019-11-02,400
132,407,7,in shipping,2020-04-23,700
